,Row,A (mean_all),B (mean_all),C (mean_all),D (mean_all)
147,D (ctrl_sub210_meditation),40.235772784596,33.300252105512,11.7365569224562,95.5010970223939
148,A (ctrl_sub211_meditation),78.6308424283104,4.41444851985531,14.2073759305603,70.0226779746323
149,B (ctrl_sub211_meditation),61.9210093635245,71.2374719625765,79.1278080041477,64.9351981574803
150,C (ctrl_sub211_meditation),17.2873094315141,40.2878730715631,81.6863220405095,1.45967273172344
151,D (ctrl_sub211_meditation),9.05532490400859,41.9537158975617,3.14915149449373,72.8510296218977
152,A (ctrl_sub212_meditation),70.5285980349019,49.8632699573564,93.151876832061,39.6133410189626
153,B (ctrl_sub212_meditation),3.60033020704372,51.9307694956355,1.56487819254278,16.948361630831
154,C (ctrl_sub212_meditation),4.55124346128933,0.684018512174031,14.3801801126078,37.271106669817
155,D (ctrl_sub212_meditation),44.5930360204247,46.800156247036,22.372553943659,96.2705308085804
156,A (ctrl_sub213_meditation),78.1903999668868,48.4559855372272,85.7936208028446,51.3671003623023
157,B (ctrl_sub213_meditation),5.75161246784931,81.0140249878609,20.250406614356,53.9083500049682
158,C (ctrl_sub213_meditation),27.4942645611393,52.7732268717438,92.1532467843045,7.96461812754647
159,D (ctrl_sub213_meditation),67.6459110870505,28.1910958998979,24.2218392236942,95.1008320451229
160,A (ctrl_sub214_meditation),53.4146982218588,2.20818195553546,2.49019842835751,71.1410041857179
161,B (ctrl_sub214_meditation),0.947509667709826,77.6943615403258,14.0590497208783,40.1550845039576
162,C (ctrl_sub214_meditation),60.5825329808394,54.6175783227536,97.0209493909859,32.314734593342
163,D (ctrl_sub214_meditation),73.8088075390986,48.5724708276256,50.0151977657527,89.4366218449652
164,A (ctrl_sub215_meditation),96.7078294336656,6.21266925757278,36.797528117738,52.3803983185928
165,B (ctrl_sub215_meditation),22.5220134559559,73.9875830721835,88.1874560866655,15.5397775073377
166,C (ctrl_sub215_meditation),43.4362767643523,10.3746455202434,74.0889361161483,1.41854060253369
167,D (ctrl_sub215_meditation),54.9679989117721,68.7401793908849,52.2543357041494,86.7893003046279
168,A (ctrl_sub216_meditation),92.4433573138792,16.6354148555969,39.4752514810024,71.5346945228675
169,B (ctrl_sub216_meditation),4.87516310380846,90.5126965749296,27.3761040358557,46.5870307360266
170,C (ctrl_sub216_meditation),29.9222232619005,40.8936672641284,90.9338992780481,4.976950999678
171,D (ctrl_sub216_meditation),66.3617087715423,62.5094095437303,82.1021552705477,57.9354762413648
172,A (ctrl_sub217_meditation),96.3118255866022,11.3407099322982,38.8234184167502,63.6217699166811
173,B (ctrl_sub217_meditation),4.38645672581168,93.7555687170219,45.9136858485604,25.4372916532344
174,C (ctrl_sub217_meditation),62.6979274524883,66.9878315899268,87.3609367760932,53.2494660517956
175,D (ctrl_sub217_meditation),21.1034930430706,22.3611552805686,1.53605626093982,83.5821525962679
176,A (ctrl_sub218_meditation),50.3227306039025,7.82584139904957,0.0595431337831036,25.8015301667389
177,B (ctrl_sub218_meditation),21.7561029331002,95.5811305814652,71.5762706926594,38.7247281024956
178,C (ctrl_sub218_meditation),82.0329543448201,35.0335924938985,87.5008591398159,38.1463176180781
179,D (ctrl_sub218_meditation),44.4811542754841,36.9468201961564,15.7288715242955,97.3029432332057
180,A (ctrl_sub219_meditation),97.8117317771554,19.4440537265014,56.567334656416,59.054809214232
181,B (ctrl_sub219_meditation),17.2005095702491,96.2191554927578,62.2710207404153,39.804106038566
182,C (ctrl_sub219_meditation),47.3589877277368,61.3463285343423,95.6597532133137,26.794834644127
183,D (ctrl_sub219_meditation),62.2765816184599,69.241212864673,68.9037479765942,74.879684028647
184,A (ctrl_sub220_meditation),97.5525103330876,14.9984396908283,52.6751086731792,54.6635123602836
185,B (ctrl_sub220_meditation),0.375966387160001,43.6306034189222,1.84114307594045,39.8295853163932
186,C (ctrl_sub220_meditation),3.40226897584842,72.8692561374542,57.1389234651285,6.61325186183058
187,D (ctrl_sub220_meditation),38.1577105462562,71.8330871932225,46.2169598693266,73.0494990525995
188,A (ctrl_sub221_meditation),54.5170581149751,9.21321033034421,5.89869981414402,84.8636541741394
189,B (ctrl_sub221_meditation),7.96071863484927,95.8096213174717,58.8034397653172,24.824926863626
190,C (ctrl_sub221_meditation),79.574466803162,51.8338833334189,80.3138704436561,62.0708924436467
191,D (ctrl_sub221_meditation),6.093638128744,12.1928460734467,10.7715951812633,22.5097031603901
192,A (ctrl_sub222_meditation),50.5136181983118,13.9738371391975,1.89629755667618,7.49778202519501
193,B (ctrl_sub222_meditation),9.1426876219651,76.2875351332312,70.1156880922726,10.463746296253
194,C (ctrl_sub222_meditation),96.6874805268459,8.96838679269467,47.4395688369896,46.4302731263963
195,D (ctrl_sub222_meditation),44.7747364513838,69.900315306139,44.454842056504,84.3723355238466
196,A (ctrl_sub223_meditation),93.5281053779377,21.4264149518099,44.1481365321439,75.5738392538255
197,B (ctrl_sub223_meditation),50.6357382725943,80.6737182760423,79.6995536711046,59.4437163392514
198,C (ctrl_sub223_meditation),22.3211532303209,48.2051110560549,89.0798261728044,4.20780216717307
199,D (ctrl_sub223_meditation),37.8928098703061,39.0123269615349,13.2850405628084,96.3144327537832
200,A (ctrl_sub224_meditation),77.2074455666043,0.910769259990137,9.65380147240479,32.8162888578567
201,B (ctrl_sub224_meditation),15.1975568205928,72.8778468492804,83.5050390262654,9.99878962091632
202,C (ctrl_sub224_meditation),83.1892963994628,42.3825058523474,84.3566419264125,50.4308598606546
203,D (ctrl_sub224_meditation),32.6631456063507,32.2006649714767,7.76194652396384,93.7744723014521
204,A (ctrl_sub225_meditation),52.9560394498473,64.9933353141447,45.6090692613667,89.4688363421162
205,B (ctrl_sub225_meditation),1.56711257284324,74.3779584084367,22.7934272573771,5.18605399690517
206,C (ctrl_sub225_meditation),68.9281071404278,22.9342368847251,85.6658915645161,17.3578171784426
207,D (ctrl_sub225_meditation),3.69765721661407,9.72589608932153,2.53134857892747,57.0132386373463
208,A (ctrl_sub226_meditation),89.3875521867935,5.67942879305844,57.1566900402787,24.0959114751526
209,B (ctrl_sub226_meditation),1.55147755649424,76.2604865850595,23.1782359739645,5.57570070730299
210,C (ctrl_sub226_meditation),58.7877492220321,70.9114597730268,65.4188441235904,76.4076585276234
211,D (ctrl_sub226_meditation),14.8222781265359,8.66235918699174,0.339772916599506,71.6009218887976
212,A (ctrl_sub227_meditation),74.587302153918,1.99479000802413,8.86997386860253,27.1107493798158
213,B (ctrl_sub227_meditation),31.4689398660859,82.8873919551902,42.8679615145651,78.5635416509488
214,C (ctrl_sub227_meditation),71.702036258314,44.7088572549028,93.5540708670904,35.2381363411772
215,D (ctrl_sub227_meditation),10.1106278483136,3.14264816118039,3.05012219742163,60.3857299976242
216,A (ctrl_sub228_meditation),67.0789358254451,10.3728953666325,73.0046119829743,10.0030149255585
217,B (ctrl_sub228_meditation),0.29452106262064,43.8493246669891,53.136285824398,0.539917546940198
218,C (ctrl_sub228_meditation),63.1331146663844,65.9237163570958,81.6767154189789,58.1294891874091
219,D (ctrl_sub228_meditation),24.8325312730202,59.2971806536714,18.1753891774971,86.0280209462881
