,Dataset,Subject,Group,Condition,MeanDuration_A,MeanDuration_B,MeanDuration_C,MeanDuration_D,MeanDurationAll,MeanOccurrence_A,MeanOccurrence_B,MeanOccurrence_C,MeanOccurrence_D,MeanOccurrenceAll,Coverage_A,Coverage_B,Coverage_C,Coverage_D,MeanGFP_A,MeanGFP_B,MeanGFP_C,MeanGFP_D,OrgTM_A->B,OrgTM_A->C,OrgTM_A->D,OrgTM_B->A,OrgTM_B->C,OrgTM_B->D,OrgTM_C->A,OrgTM_C->B,OrgTM_C->D,OrgTM_D->A,OrgTM_D->B,OrgTM_D->C,psi/ctrl
10,ctrl_sub011_meditation,sub011,non meditator,meditation,0.043353,0.044553,0.047965,0.040289,0.044218,5.7307,5.6222,6.1645,5.0979,22.6154,24.8654,25.0405,29.4681,20.626,4.2048,4.4256,4.7054,4.2516,8.7298,9.6909,6.9198,8.4094,9.6588,6.8236,9.1142,9.3224,8.8099,7.8168,6.7916,7.9129,ctrl
11,ctrl_sub012_meditation,sub012,non meditator,meditation,0.042772,0.051326,0.038346,0.044011,0.044694,5.0424,6.5452,4.6511,6.1357,22.3744,21.6086,33.4082,17.9616,27.0216,4.2206,4.5664,3.953,4.3153,9.5807,5.2244,7.7301,9.1386,8.0085,12.1192,5.0115,8.1395,7.6155,8.3688,11.5624,7.5008,ctrl
12,ctrl_sub013_meditation,sub013,non meditator,meditation,0.045934,0.047262,0.053805,0.048322,0.048854,4.74,5.3996,5.094,5.2356,20.4692,21.8272,25.5531,27.3094,25.3104,7.1706,7.3205,8.3146,7.1805,8.3622,7.1572,7.6137,8.0519,8.8735,9.4395,7.1572,9.2021,8.5083,7.9606,8.837,8.837,ctrl
13,ctrl_sub014_meditation,sub014,non meditator,meditation,0.038098,0.036003,0.039551,0.033641,0.037007,7.1429,6.9387,7.2304,5.7099,27.0218,27.1729,25.0171,28.5026,19.3073,6.0785,6.0408,6.7096,6.1118,9.5515,9.8622,7.0116,9.565,9.5109,6.6198,10.0919,9.1732,7.471,6.7955,6.9846,7.3629,ctrl
14,ctrl_sub017_meditation,sub017,non meditator,meditation,0.036772,0.038048,0.043167,0.040602,0.039817,5.4889,6.2595,6.7489,6.6174,25.1147,20.2637,23.869,29.0245,26.8428,3.049,3.0937,3.3308,3.2154,6.8298,7.4559,7.5724,6.8006,9.4219,8.6792,7.6889,9.0869,10.0917,7.354,9.0141,10.0044,ctrl
15,ctrl_sub018_meditation,sub018,non meditator,meditation,0.029027,0.026672,0.025589,0.025816,0.026716,8.9273,8.4529,9.7395,10.3109,37.4306,25.7699,22.548,24.9988,26.6833,5.0071,5.1525,5.1422,5.8337,6.5687,8.2493,9.0368,6.2614,7.7691,8.5566,8.403,7.6539,9.9587,9.1808,8.3645,9.9971,ctrl
16,ctrl_sub019_meditation,sub019,non meditator,meditation,0.058314,0.050912,0.051217,0.04524,0.051669,5.404,5.0819,4.1743,4.6939,19.354,31.3792,25.8871,21.3862,21.3475,8.4345,7.4425,9.3976,7.1824,10.2399,8.1991,9.4701,9.5417,7.6441,9.0763,8.3602,7.5009,5.7107,10.0251,8.5213,5.7107,ctrl
17,ctrl_sub020_meditation,sub020,non meditator,meditation,0.044693,0.040643,0.03943,0.03787,0.040674,6.2775,5.7983,6.4272,6.0828,24.5858,27.9376,23.567,25.3802,23.1153,5.9874,5.843,5.6087,5.6629,7.7956,9.3516,8.4058,7.7498,7.8719,7.9481,9.4279,8.3143,8.4058,8.3295,7.46,8.9397,ctrl
18,ctrl_sub021_meditation,sub021,non meditator,meditation,0.04452,0.048639,0.045342,0.050066,0.047218,4.7572,5.6764,5.469,5.2758,21.1783,21.2312,27.5767,24.8391,26.353,4.8993,4.9017,4.8281,5.5238,7.678,8.1684,6.6295,7.1368,9.3692,10.2993,8.3206,9.5552,7.9486,7.0015,9.5721,8.3206,ctrl
19,ctrl_sub022_meditation,sub022,non meditator,meditation,0.042961,0.049466,0.047469,0.046255,0.046681,4.6538,5.6036,5.3211,5.8437,21.4221,20.0639,27.6543,25.2416,27.0401,6.8567,7.7162,8.1233,7.4998,6.9767,6.9767,7.7684,7.2406,8.4777,10.4404,6.6964,9.0879,9.0549,7.7849,10.1105,9.3848,ctrl
